Author1,Author2,A,B,C,D (Answer),Analogy
ニール・ドナルド ウォルシュ,清川 妙,神へ帰る,神との対話 普及版,つらい時、いつも古典に救われた,今日から自分磨き―楽しみながら、すこしずつ,(神へ帰る : 神との対話 普及版) = (つらい時、いつも古典に救われた : ?)
やました ひでこ,福田 和也,よりよく生きるための断捨離式エンディング・ノート,「めんどくさい」をやめました。――さあ、言葉も片づけてみようか!,『作家の値うち』の使い方,悪の読書術,(よりよく生きるための断捨離式エンディング・ノート : 「めんどくさい」をやめました。――さあ、言葉も片づけてみようか!) = (『作家の値うち』の使い方 : ?)
谷原 秋桜子,"松久 淳,田中 渉",龍の館の秘密,手焼き煎餅の密室,天国の本屋~恋火,ラブコメ,(龍の館の秘密 : 手焼き煎餅の密室) = (天国の本屋~恋火 : ?)
高丘 しずる,葉山 透,王女修業、ごろうじろ。,王女修業、きわめます。,金の瞳の女神,9S〈ナインエス〉II,(王女修業、ごろうじろ。 : 王女修業、きわめます。) = (金の瞳の女神 : ?)
中山 康樹,松田 奈緒子,マイルスに訊け!,挫折し続ける初心者のための最後のジャズ入門,少女漫画,えへん、龍之介。,(マイルスに訊け! : 挫折し続ける初心者のための最後のジャズ入門) = (少女漫画 : ?)
深町 秋生,押切 蓮介,猫に知られるなかれ,ヘルドッグス 地獄の犬たち,ピコピコ少年,プピポー!,(猫に知られるなかれ : ヘルドッグス 地獄の犬たち) = (ピコピコ少年 : ?)
志茂田 景樹,"たかしげ 宙,皆川 亮二",「南潮館」呪いの惨殺〈完結篇〉,心療内科,スプリガン〔保存版〕,SPRIGGAN,(「南潮館」呪いの惨殺〈完結篇〉 : 心療内科) = (スプリガン〔保存版〕 : ?)
小山 龍介,立川談志,STUDY HACKS! 楽しみながら成果が上がるスキルアップのコツと習慣,TIME HACKS! 劇的に生産性を上げる「時間管理」のコツと習慣,談志 最後の根多帳,談志絶倒 昭和落語家伝,(STUDY HACKS! 楽しみながら成果が上がるスキルアップのコツと習慣 : TIME HACKS! 劇的に生産性を上げる「時間管理」のコツと習慣) = (談志 最後の根多帳 : ?)
阿久 悠,スティーブン・R・コヴィー,凛とした女の子におなりなさい: 日本人らしいひと,作詞入門: 阿久式ヒット・ソングの技法,完訳 7つの習慣 人格主義の回復,7つの習慣 原則中心のリーダーシップ,(凛とした女の子におなりなさい: 日本人らしいひと : 作詞入門: 阿久式ヒット・ソングの技法) = (完訳 7つの習慣 人格主義の回復 : ?)
小森 健太朗,佐倉 ハイジ,神の子の密室,ネヌウェンラーの密室,これからどうしよう?,投げやりの夜,(神の子の密室 : ネヌウェンラーの密室) = (これからどうしよう? : ?)
伊藤 真,大崎 梢,一点集中力,伊藤真の法学入門 講義再現版,27000冊ガーデン,ふたつめの庭,(一点集中力 : 伊藤真の法学入門 講義再現版) = (27000冊ガーデン : ?)
流 星香,内田 洋子,少年伯爵は闇夜を駆ける,少年伯爵は月影に慕う,ミラノの太陽、シチリアの月,イタリア発イタリア着,(少年伯爵は闇夜を駆ける : 少年伯爵は月影に慕う) = (ミラノの太陽、シチリアの月 : ?)
TONO,坂入 慎一,コーラル~手のひらの海~,カルバニア物語,シャープ・エッジ: stand on the edge,シャープ・エッジ,(コーラル~手のひらの海~ : カルバニア物語) = (シャープ・エッジ: stand on the edge : ?)
半藤 一利,吉川英治,[真珠湾]の日,昭和史 1926-,KOされない男たち 不屈のボクサーとセコンドの物語,黒田如水,([真珠湾]の日 : 昭和史 1926-) = (KOされない男たち 不屈のボクサーとセコンドの物語 : ?)
秋山 香乃,酒井 政人,密偵,新撰組捕物帖----源さんの事件簿,箱根駅伝は誰のものか: 「国民的行事」の現在地,ナイキシューズ革命: “厚底”が世界にかけた魔法,(密偵 : 新撰組捕物帖----源さんの事件簿) = (箱根駅伝は誰のものか: 「国民的行事」の現在地 : ?)
荒木 風羽,ひかわ きょうこ,はなまるっ!,そして僕らは家族になる,荒野の天使ども,お伽もよう綾にしきふたたび,(はなまるっ! : そして僕らは家族になる) = (荒野の天使ども : ?)
裕時 悠示,有馬 哲夫,踊る星降るレネシクル,俺の彼女と幼なじみが修羅場すぎる,昭和史を動かしたアメリカ情報機関,世界のしくみが見える「メディア論」―有馬哲夫教授の早大講義録,(踊る星降るレネシクル : 俺の彼女と幼なじみが修羅場すぎる) = (昭和史を動かしたアメリカ情報機関 : ?)
