Genre1,Genre2,Decade,A,B,C,D (Answer),Analogy
Comedy,Horror,1960s,"Odd Couple, The (1968)",Take the Money and Run (1969),Pit and the Pendulum (1961),"Birds, The (1963)","(Odd Couple, The (1968) : Take the Money and Run (1969)) = (Pit and the Pendulum (1961) : ?)"
Comedy,Horror,1960s,Tom Jones (1963),"Taming of the Shrew, The (1967)",Pit and the Pendulum (1961),"Birds, The (1963)","(Tom Jones (1963) : Taming of the Shrew, The (1967)) = (Pit and the Pendulum (1961) : ?)"
Comedy,Horror,1960s,"Odd Couple, The (1968)",Tom Jones (1963),"Birds, The (1963)","Birds, The (1963)","(Odd Couple, The (1968) : Tom Jones (1963)) = (Birds, The (1963) : ?)"
Comedy,Horror,1970s,Animal House (1978),Monty Python's Life of Brian (1979),"Baby, The (1973)","Exorcist, The (1973)","(Animal House (1978) : Monty Python's Life of Brian (1979)) = (Baby, The (1973) : ?)"
Comedy,Horror,1970s,Heaven Can Wait (1978),And Now for Something Completely Different (1971),"Omen, The (1976)","Omen, The (1976)","(Heaven Can Wait (1978) : And Now for Something Completely Different (1971)) = (Omen, The (1976) : ?)"
Comedy,Horror,1970s,Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail (1974),"Exorcist, The (1973)","Texas Chainsaw Massacre, The (1974)","(Monty Python and the Holy Grail (1974) : Monty Python and the Holy Grail (1974)) = (Exorcist, The (1973) : ?)"
Comedy,Horror,1980s,Ruthless People (1986),Stripes (1981),Christine (1983),"American Werewolf in London, An (1981)",(Ruthless People (1986) : Stripes (1981)) = (Christine (1983) : ?)
Comedy,Horror,1980s,Heathers (1989),Tampopo (1986),Hello Mary Lou: Prom Night II (1987),Creepshow 2 (1987),(Heathers (1989) : Tampopo (1986)) = (Hello Mary Lou: Prom Night II (1987) : ?)
Comedy,Horror,1980s,Weekend at Bernie's (1989),European Vacation (1985),Halloween II (1981),"Nightmare on Elm Street 5: The Dream Child, A (1989)",(Weekend at Bernie's (1989) : European Vacation (1985)) = (Halloween II (1981) : ?)
Comedy,Horror,1990s,Superstar (1999),American Pie (1999),Hellraiser III: Hell on Earth (1992),"Relic, The (1997)",(Superstar (1999) : American Pie (1999)) = (Hellraiser III: Hell on Earth (1992) : ?)
Comedy,Horror,1990s,Big Daddy (1999),Pleasantville (1998),"Blair Witch Project, The (1999)",Vampires (1998),"(Big Daddy (1999) : Pleasantville (1998)) = (Blair Witch Project, The (1999) : ?)"
Comedy,Horror,1990s,Pleasantville (1998),Being John Malkovich (1999),"Relic, The (1997)",Hellraiser III: Hell on Earth (1992),"(Pleasantville (1998) : Being John Malkovich (1999)) = (Relic, The (1997) : ?)"
Comedy,Horror,2000s,Nutty Professor II: The Klumps (2000),Meet the Parents (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Nutty Professor II: The Klumps (2000) : Meet the Parents (2000)) = (Urban Legends: Final Cut (2000) : ?)
Comedy,Horror,2000s,High Fidelity (2000),Best in Show (2000),Anatomy (Anatomie) (2000),Urban Legends: Final Cut (2000),(High Fidelity (2000) : Best in Show (2000)) = (Anatomy (Anatomie) (2000) : ?)
Comedy,Horror,2000s,Small Time Crooks (2000),High Fidelity (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Small Time Crooks (2000) : High Fidelity (2000)) = (Urban Legends: Final Cut (2000) : ?)
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1980s,"Adventures of Milo and Otis, The (1986)","Adventures of Milo and Otis, The (1986)","American Werewolf in London, An (1981)","Gate, The (1987)","(Adventures of Milo and Otis, The (1986) : Adventures of Milo and Otis, The (1986)) = (American Werewolf in London, An (1981) : ?)"
